time	voltage
726	-72.6377230000000
727	-72.6454010000000
728	-72.6530090000000
729	-72.6605480000000
730	-72.6680190000000
731	-72.6754220000000
732	-72.6827590000000
733	-72.6900300000000
734	-72.6972370000000
735	-72.7043800000000
736	-72.7114610000000
737	-72.7184790000000
738	-72.7254370000000
739	-72.7323340000000
740	-72.7391720000000
741	-72.7459510000000
742	-72.7526720000000
743	-72.7593370000000
744	-72.7659450000000
745	-72.7724980000000
746	-72.7789960000000
747	-72.7854400000000
748	-72.7918310000000
749	-72.7981700000000
750	-72.8044570000000
751	-72.8106920000000
752	-72.8168770000000
753	-72.8230120000000
754	-72.8290980000000
755	-72.8351360000000
756	-72.8411250000000
757	-72.8470670000000
758	-72.8529630000000
759	-72.8588120000000
760	-72.8646160000000
761	-72.8703750000000
762	-72.8760890000000
763	-72.8817600000000
764	-72.8873880000000
765	-72.8929730000000
766	-72.8985160000000
767	-72.9040170000000
768	-72.9094770000000
769	-72.9148970000000
770	-72.9202760000000
771	-72.9256150000000
772	-72.9309160000000
773	-72.9361770000000
774	-72.9414010000000
775	-72.9465860000000
776	-72.9517340000000
777	-72.9568460000000
778	-72.9619200000000
779	-72.9669590000000
780	-72.9719630000000
781	-72.9769310000000
782	-72.9818640000000
783	-72.9867630000000
784	-72.9916280000000
785	-72.9964590000000
786	-73.0012580000000
787	-73.0060230000000
788	-73.0107560000000
789	-73.0154570000000
790	-73.0201260000000
791	-73.0247630000000
792	-73.0293700000000
793	-73.0339450000000
794	-73.0384900000000
795	-73.0430060000000
796	-73.0474910000000
797	-73.0519470000000
798	-73.0563740000000
799	-73.0607720000000
800	-73.0651420000000
801	-73.0694840000000
802	-73.0737970000000
803	-73.0780830000000
804	-73.0823420000000
805	-73.0865740000000
806	-73.0907790000000
807	-73.0949580000000
808	-73.0991110000000
809	-73.1032370000000
810	-73.1073380000000
811	-73.1114140000000
812	-73.1154640000000
813	-73.1194890000000
814	-73.1234900000000
815	-73.1274660000000
816	-73.1314180000000
817	-73.1353470000000
818	-73.1392510000000
819	-73.1431320000000
820	-73.1469900000000
821	-73.1508240000000
822	-73.1546360000000
823	-73.1584250000000
824	-73.1621920000000
825	-73.1659370000000
826	-73.1696600000000
827	-73.1733610000000
828	-73.1770400000000
829	-73.1806980000000
830	-73.1843350000000
831	-73.1879510000000
832	-73.1915470000000
833	-73.1951210000000
834	-73.1986760000000
835	-73.2022100000000
836	-73.2057240000000
837	-73.2092180000000
838	-73.2126930000000
839	-73.2161480000000
840	-73.2195830000000
841	-73.2230000000000
842	-73.2263970000000
843	-73.2297760000000
844	-73.2331350000000
845	-73.2364770000000
846	-73.2397990000000
847	-73.2431040000000
848	-73.2463910000000
849	-73.2496590000000
850	-73.2529100000000
851	-73.2561430000000
852	-73.2593590000000
853	-73.2625580000000
854	-73.2657390000000
855	-73.2689030000000
856	-73.2720510000000
857	-73.2751820000000
858	-73.2782960000000
859	-73.2813930000000
860	-73.2844740000000
861	-73.2875390000000
862	-73.2905880000000
863	-73.2936210000000
864	-73.2966380000000
865	-73.2996400000000
866	-73.3026250000000
867	-73.3055960000000
868	-73.3085500000000
869	-73.3114900000000
870	-73.3144140000000
871	-73.3173240000000
872	-73.3202180000000
873	-73.3230980000000
874	-73.3259630000000
875	-73.3288130000000
876	-73.3316490000000
877	-73.3344700000000
878	-73.3372770000000
879	-73.3400700000000
880	-73.3428490000000
881	-73.3456140000000
882	-73.3483650000000
883	-73.3511020000000
884	-73.3538260000000
885	-73.3565360000000
886	-73.3592330000000
887	-73.3619160000000
888	-73.3645860000000
889	-73.3672430000000
890	-73.3698870000000
891	-73.3725180000000
892	-73.3751360000000
893	-73.3777410000000
894	-73.3803340000000
895	-73.3829130000000
896	-73.3854810000000
897	-73.3880360000000
898	-73.3905780000000
899	-73.3931080000000
900	-73.3956260000000
901	-73.3981320000000
902	-73.4006260000000
903	-73.4031080000000
904	-73.4055780000000
905	-73.4080360000000
906	-73.4104830000000
907	-73.4129170000000
908	-73.4153410000000
909	-73.4177520000000
910	-73.4201520000000
911	-73.4225410000000
912	-73.4249190000000
913	-73.4272850000000
914	-73.4296400000000
915	-73.4319840000000
916	-73.4343170000000
917	-73.4366390000000
918	-73.4389510000000
919	-73.4412510000000
920	-73.4435410000000
921	-73.4458200000000
922	-73.4480880000000
923	-73.4503460000000
924	-73.4525940000000
925	-73.4548310000000
926	-73.4570580000000
927	-73.4592740000000
928	-73.4614810000000
929	-73.4636770000000
930	-73.4658630000000
931	-73.4680390000000
932	-73.4702060000000
933	-73.4723620000000
934	-73.4745090000000
935	-73.4766450000000
936	-73.4787720000000
937	-73.4808900000000
938	-73.4829980000000
939	-73.4850960000000
940	-73.4871850000000
941	-73.4892640000000
942	-73.4913340000000
943	-73.4933950000000
944	-73.4954460000000
945	-73.4974890000000
946	-73.4995220000000
947	-73.5015460000000
948	-73.5035610000000
949	-73.5055670000000
950	-73.5075640000000
951	-73.5095520000000
952	-73.5115310000000
953	-73.5135010000000
954	-73.5154630000000
955	-73.5174160000000
956	-73.5193600000000
957	-73.5212950000000
958	-73.5232230000000
959	-73.5251410000000
960	-73.5270510000000
961	-73.5289530000000
962	-73.5308460000000
963	-73.5327310000000
964	-73.5346080000000
965	-73.5364760000000
966	-73.5383360000000
967	-73.5401890000000
968	-73.5420330000000
969	-73.5438690000000
970	-73.5456970000000
971	-73.5475170000000
972	-73.5493290000000
973	-73.5511330000000
974	-73.5529300000000
975	-73.5547180000000
976	-73.5564990000000
977	-73.5582730000000
978	-73.5600380000000
979	-73.5617960000000
980	-73.5635460000000
981	-73.5652890000000
982	-73.5670250000000
983	-73.5687530000000
984	-73.5704730000000
985	-73.5721860000000
986	-73.5738920000000
987	-73.5755910000000
988	-73.5772820000000
989	-73.5789660000000
990	-73.5806430000000
991	-73.5823130000000
992	-73.5839750000000
993	-73.5856310000000
994	-73.5872790000000
995	-73.5889210000000
996	-73.5905550000000
997	-73.5921830000000
998	-73.5938040000000
999	-73.5954180000000
